k,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
7,Cleveland Cavaliers*,29.2,51,31,49,33,3.18,-0.31,2.87,113.6,110.3,+3.3,96.2,.275,.399,.580,.547,12.6,21.9,.206,.516,11.4,75.8,.174,Quicken Loans Arena,843042,20562
8,Boston Celtics*,25.9,53,29,48,34,2.63,-0.39,2.25,111.2,108.4,+2.8,96.8,.273,.393,.567,.525,12.2,21.2,.220,.503,12.6,75.3,.223,TD Garden,760690,18553
9,Washington Wizards*,26.0,49,33,46,36,1.80,-0.45,1.36,111.2,109.3,+1.9,97.4,.254,.284,.564,.528,12.8,24.1,.199,.524,13.8,75.5,.213,Verizon Center,697107,17003
10,Oklahoma City Thunder*,24.7,47,35,43,39,0.76,0.39,1.14,108.3,107.5,+0.8,97.8,.295,.295,.540,.500,13.2,27.9,.220,.511,12.5,79.0,.218,Chesapeake Energy Arena,746323,18203
11,Memphis Grizzlies*,29.5,43,39,42,40,0.49,0.47,0.96,107.7,107.1,+0.6,92.3,.280,.316,.535,.491,12.1,24.8,.219,.506,13.6,77.5,.256,FedEx Forum,677314,16520
12,Miami Heat,26.5,41,41,44,38,1.06,-0.29,0.77,107.8,106.7,+1.1,95.2,.251,.314,.541,.512,12.4,24.2,.177,.496,12.6,76.4,.220,AmericanAirlines Arena,805400,19644
13,Denver Nuggets,25.2,40,42,42,40,0.51,0.19,0.70,113.2,112.7,+0.5,98.3,.276,.329,.568,.530,13.2,27.3,.214,.532,10.9,78.7,.194,Pepsi Center,605585,14672
14,Chicago Bulls*,26.9,41,41,42,40,0.43,-0.39,0.03,107.4,107.0,+0.4,95.3,.259,.256,.530,.487,12.3,27.0,.206,.507,12.4,76.8,.169,United Center,888882,21680
15,Charlotte Hornets,26.5,36,46,42,40,0.20,-0.26,-0.07,108.8,108.6,+0.2,95.7,.279,.335,.547,.501,10.7,19.9,.227,.523,12.1,79.6,.164,Spectrum Center,710643,17333
16,Portland Trail Blazers*,24.8,41,41,40,42,-0.52,0.30,-0.23,110.3,110.8,-0.5,96.7,.275,.322,.559,.520,12.5,23.0,.214,.508,11.6,76.8,.241,Moda Center,792029,19318
